Datetime,Energy,hour,day,month,is_weekend
2023-01-01 00:00:00,84.96714153011233,0,6,1,1
2023-01-01 01:00:00,88.97011879238897,1,6,1,1
2023-01-01 02:00:00,106.47688538100692,2,6,1,1
2023-01-01 03:00:00,123.51456981154216,3,6,1,1
2023-01-01 04:00:00,112.29948240414417,4,6,1,1
2023-01-01 05:00:00,116.29566348207092,5,6,1,1
2023-01-01 06:00:00,135.79212815507393,6,6,1,1
2023-01-01 07:00:00,126.31138034309181,7,6,1,1
2023-01-01 08:00:00,109.94627229202804,8,6,1,1
2023-01-01 09:00:00,113.70987168332155,9,6,1,1
2023-01-01 10:00:00,95.36582307187538,10,6,1,1
2023-01-01 11:00:00,85.69546426839827,11,6,1,1
2023-01-01 12:00:00,82.41962271566034,12,6,1,1
2023-01-01 13:00:00,50.51443574932118,13,6,1,1
2023-01-01 14:00:00,42.750821674869684,14,6,1,1
2023-01-01 15:00:00,46.09285346012838,15,6,1,1
2023-01-01 16:00:00,35.23067264527822,16,6,1,1
2023-01-01 17:00:00,44.505440274390004,17,6,1,1
2023-01-01 18:00:00,30.91975924478789,18,6,1,1
2023-01-01 19:00:00,27.239929935084348,19,6,1,1
2023-01-01 20:00:00,60.015471537837996,20,6,1,1
2023-01-01 21:00:00,49.457965747672745,21,6,1,1
2023-01-01 22:00:00,60.675282046879225,22,6,1,1
2023-01-01 23:00:00,55.39975633376457,23,6,1,1
2023-01-02 00:00:00,104.55617275474818,0,0,1,0
2023-01-02 01:00:00,121.46198770119949,1,0,1,0
2023-01-02 02:00:00,118.49006422577698,2,0,1,0
2023-01-02 03:00:00,142.04125143091863,3,0,1,0
2023-01-02 04:00:00,138.63462925218948,4,0,1,0
2023-01-02 05:00:00,145.72009555362996,5,0,1,0
2023-01-02 06:00:00,143.98293387770602,6,0,1,0
2023-01-02 07:00:00,167.1598148966521,7,0,1,0
2023-01-02 08:00:00,144.5060439039982,8,0,1,0
2023-01-02 09:00:00,127.7071619579029,9,0,1,0
2023-01-02 10:00:00,138.2254491210319,10,0,1,0
2023-01-02 11:00:00,108.14432530439062,11,0,1,0
2023-01-02 12:00:00,112.08863595004756,12,0,1,0
